,PLAYER_ID,LEAGUE_ID,Team_ID,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
0,203487.0,00,0.0,238.0,189.0,29.8,4.9,11.9,0.406,0.5,2.0,0.252,2.6,3.8,0.695,1.0,4.1,5.1,5.4,1.5,0.6,3.0,2.7,12.8
0,1627936.0,00,0.0,2.0,0.0,9.5,0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0
0,201956.0,00,0.0,509.0,138.0,21.2,3.0,6.8,0.445,0.9,2.5,0.369,1.3,1.9,0.678,0.8,3.2,4.1,1.2,0.6,0.2,1.1,1.6,8.2
0,1626161.0,00,0.0,153.0,72.0,20.4,3.2,5.9,0.541,0.0,0.0,0.0,1.3,2.0,0.661,1.6,3.4,5.0,0.9,0.7,0.8,0.8,2.1,7.7
0,1628463.0,00,0.0,4.0,0.0,2.9,0.3,0.5,0.5,0.3,0.5,0.5,0.0,0.0,0.0,0.0,0.8,0.8,0.0,0.0,0.0,0.0,0.5,0.8
0,201596.0,00,0.0,592.0,391.0,27.2,3.0,7.2,0.419,1.2,3.4,0.356,1.7,2.2,0.784,0.3,2.1,2.5,3.8,1.5,0.2,1.9,2.7,9.0
0,2199.0,00,0.0,1045.0,841.0,28.4,3.2,5.5,0.594,0.0,0.0,0.0,2.2,3.4,0.647,3.2,6.2,9.4,0.8,0.6,1.2,1.5,2.9,8.7
0,201163.0,00,0.0,529.0,389.0,31.1,5.4,12.1,0.444,1.3,3.9,0.338,1.8,2.3,0.769,1.2,4.2,5.4,1.8,0.7,0.7,1.5,2.8,13.8
0,1627737.0,00,0.0,96.0,86.0,21.2,3.3,7.5,0.445,0.9,2.7,0.335,1.3,2.1,0.635,1.1,3.3,4.4,0.8,0.8,0.9,1.3,3.3,8.9
0,203546.0,00,0.0,208.0,1.0,11.1,1.8,4.0,0.448,0.6,1.7,0.362,0.4,0.6,0.788,0.2,1.0,1.2,1.0,0.4,0.1,0.6,0.9,4.6
0,203903.0,00,0.0,233.0,136.0,28.7,5.5,12.5,0.444,1.2,3.6,0.337,2.0,2.4,0.805,0.9,2.5,3.4,2.8,1.0,0.1,1.8,1.9,14.3
0,1628492.0,00,0.0,6.0,0.0,9.3,0.8,2.5,0.333,0.8,2.2,0.385,0.0,0.0,0.0,0.2,1.0,1.2,0.5,0.3,0.0,0.2,1.2,2.5
0,1628381.0,00,0.0,13.0,0.0,20.9,4.0,8.1,0.495,0.0,0.1,0.0,2.2,3.0,0.744,3.2,4.2,7.3,0.7,0.4,1.2,1.3,3.8,10.2
0,1628380.0,00,0.0,3.0,0.0,8.5,0.0,2.3,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.7,0.3,1.0,0.3,0.0,0.0,0.3,2.3,0.0
